"ID",Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Backorders allowed?,Sold individually?,Weight (lbs),Length (in),Width (in),Height (in),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global,Meta: _wpcom_is_markdown,Download 1 name,Download 1 URL,Download 2 name,Download 2 URL
2,simple,BOARD001,Monopoly Classic Edition,1,1,visible,Классическая экономическая игра для всей семьи.,"Monopoly Classic Edition — увлекательная экономическая игра, где вам предстоит покупать и продавать недвижимость, строить дома и отели, разоряя противников. Игра развивает стратегическое мышление и подходит для всей семьи. 2–6 игроков.",,,taxable,,1,,0,0,0.48,5.78,1.1,0.44,1,,,150.00,Классика,,Monopoly Classic Edition,https://m.media-amazon.com/images/I/814clgo532L.jpg,,,,,,,,,,Color,"Black, Silver, Gold, Deep Purple",1,,Memory,"128GB, 256GB, 512GB, 1TB",1,,,,,,
3,simple,BOARD002,Catan: Колонизаторы,1,0,visible,Стратегия по освоению земель и торговле ресурсами.,"Catan: Колонизаторы — популярная настольная игра, где игроки строят поселения, дороги и города, собирая ресурсы и торгуя друг с другом. Побеждает тот, кто первым наберет 10 победных очков. 3–4 игрока, от 10 лет и старше.",,,taxable,,1,,0,0,0.41,5.78,2.8,1.04,1,,18,180.50,Стратегия,,Catan: Колонизаторы,https://hobbygames.ru/image/cache/hobbygames_beta/data/-new/hobby-world/kolonizatori/catan-2024/catan-00-1024x1024-wm.jpg,,,,,,,,,,Color,"Blue, Red, Starlight, Midnight",,,Memory,"128GB, 256GB, 512GB",,,,,,,
4,simple,BOARD003,Scrabble Deluxe,1,0,visible,Классическая игра в слова для любителей головоломок.,"Scrabble Deluxe — интеллектуальная игра, где участники составляют слова на поле из отдельных букв, зарабатывая очки за редкие буквы и длинные слова. Подходит для 2–4 игроков, развивает словарный запас и логику.",,,taxable,,1,,0,0,0.44,5.79,3.5,1.02,1,,55,120.75,Словесные,,Scrabble Deluxe,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQETyYcj-7zZWNS4WSyJ-Zq0u68KJmRivuaRA&s,,,,,,,,,,Color,"Black, White, Product Red",1,,Memory,"64GB, 128GB, 256GB",1,,,,,,
5,simple,BOARD004,Ticket to Ride: Европа,1,0,visible,Увлекательное путешествие по Европе на поездах.,"Ticket to Ride: Европа — стратегия, где нужно строить железнодорожные маршруты, соединяя города на карте Европы. Планируйте ходы, блокируйте соперников и выигрывайте очки. Подходит для 2–5 игроков, от 8 лет и старше.",,,taxable,,1,,0,0,1.04,5.80,0.88,1.1,1,,16,200.00,Путешествия,,Ticket to Ride: Европа,https://hobbygames.ru/image/cache/hobbygames_beta/data/HobbyWorld/Ticket_to_Ride/T2R_1912/2022/Photos/Ticket_To_Ride_Europe_1912_00-209x273.jpg,,,,,,,,,,Memory,"128GB, 256GB, 512GB, 1TB",1,1,Connectivity,"Wi-Fi, Wi-Fi + Cellular",,,,,,,
6,simple,BOARD005,Каркассон: Средневековье,1,0,visible,Строительство городов и захват территорий.,"Каркассон: Средневековье — тактическая игра, где участники поочередно выкладывают тайлы, строя дороги, города и поля. Фигурки миплов приносят очки в зависимости от расположения. Игра для 2–5 игроков, 30–45 минут на партию.",,,taxable,,1,,0,0,1.02,5.81,1.2,2.8,1,,,135.00,Стратегия,,Каркассон: Средневековье,https://www.mosigra.ru/image/cache/data/mosigra.market/537/247/2_600x600-1024x1024-wm.webp,,,,,,,,,,Memory,"64GB, 256GB",1,1,Connectivity,"Wi-Fi, Wi-Fi + Cellular",,,,,,,
7,simple,BOARD006,Dixit: Путешествие,1,0,visible,Абстрактная игра с красивыми картами для фантазеров.,"Dixit: Путешествие — творческая игра на ассоциации. Один игрок описывает карту, а остальные выбирают похожие карты. Цель — угадать, какая карта принадлежит рассказчику. Игра развивает воображение, подходит для 3–6 игроков.",,,taxable,,1,,0,0,1.1,5.82,2.9,3.5,1,,35,145.50,Творческие,,Dixit: Путешествие,https://www.igroved.ru/db/games/images/52/1252/igroved_dixit3_02.jpg,,,,,,,,,,Memory,"64GB, 256GB",,,Connectivity,"Wi-Fi, Wi-Fi + Cellular",,,,,,,
8,simple,BOARD007,Pandemic: Базовая версия,1,1,visible,Спасите мир от глобальной пандемии!,"Pandemic: Базовая версия — кооперативная игра, где участники работают вместе, чтобы предотвратить распространение болезней по всему миру. Игра требует стратегического мышления и отличной командной работы. 2–4 игрока, от 12 лет.",,,taxable,,1,,0,0,2.8,5.83,3.6,0.45,1,,,210.00,Кооперативные,,Pandemic: Базовая версия,https://gaga.ru/gaga/files/images/fullsize/395/20.jpg,,,,,,,,,,Memory,"8GB, 16GB, 32GB",,,Storage,"256GB, 512GB, 1TB",,,,,,,
9,simple,BOARD008,Азул: Витражи Синтры,1,1,visible,Стратегия на сбор мозаики для любителей абстракции.,"Азул: Витражи Синтры — эстетическая игра, в которой игроки выкладывают мозаичные плитки для создания красивых узоров. Балансируйте свои ходы, чтобы опередить соперников. Подходит для 2–4 игроков, около 45 минут на партию.",,,taxable,,1,,0,0,3.5,5.84,0.89,1.04,1,,,170.25,Головоломки,,Азул: Витражи Синтры,https://hobbygames.ru/image/cache/hobbygames_beta/data/Zvezda/Azul_vitrajy/Azul_Vitraji_Cintri-1024x1024-wm.jpg,,,,,,,,,,Memory,"16GB, 32GB",,,Storage,"512GB, 1TB, 2TB",,,,,,,
10,simple,BOARD009,7 Wonders Duel,1,1,hidden,Стратегическая дуэль для двоих игроков.,"7 Wonders Duel — карточная игра для двух игроков, где вы строите цивилизацию, развивая военную мощь, науку и культуру. Продуманные ходы и баланс ресурсов помогут одержать победу. Отличная игра для пары или друзей.",,,taxable,,1,,0,0,0.88,5.85,1.3,1.02,1,,,160.75,Стратегия,,7 Wonders Duel,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTZGRbLWEJSrhJ7g6AEJ9mCwgnjNEqVcIUvcw&s,,,,,,,,,,Color,"Green, Yellow, Orange, Pink, Purple, Blue, Silver",,,Storage,"256GB, 512GB, 1TB",,,,,,,
11,simple,BOARD010,Доббль: Веселые картинки,1,1,visible,Веселая игра на внимательность и реакцию.,"Доббль: Веселые картинки — динамичная игра на поиск одинаковых символов на карточках. Прекрасно развивает внимание и скорость реакции. Подходит для детей и взрослых, длительность партии — 10–15 минут.",,,taxable,,1,,0,0,2.6,5.86,2.10,1.1,1,,,85.00,Детские,,Доббль: Веселые картинки,https://ir-3.ozone.ru/s3/multimedia-q/c1000/6690335498.jpg,,,,,,,,,,Memory,"8GB, 16GB",,,Storage,"256GB, 512GB, 1TB",,,,,,,
12,simple,BOARD011,Uno: Семейная классика,1,0,visible,Семейная карточная игра с простыми правилами.,"Uno: Семейная классика — увлекательная игра, где участники должны первыми избавиться от всех карт, следуя цвету или номеру. Простые правила и быстрая динамика делают Uno идеальной игрой для семьи и друзей.",,,taxable,,1,,0,0,0.08,5.87,3.7,2.9,1,,2,65.50,Классика,,Uno: Семейная классика,https://ir.ozone.ru/s3/multimedia-1-3/c1000/6919435551.jpg,,,,,,,,,,Color,"Silver, Starlight, Midnight, Pink",,,Size,"41mm, 45mm",,,,,,,
13,simple,BOARD012,Дженга: Башня из блоков,1,0,visible,Игра на ловкость и устойчивость для всех возрастов.,"Дженга: Башня из блоков — классическая игра, где участники поочередно вытаскивают деревянные бруски из башни и кладут их сверху. Побеждает тот, кто не разрушит конструкцию. Развивает координацию и ловкость.",,,taxable,,1,,0,0,0.09,5.88,0.90,3.6,1,,,95.00,Ловкость,,Дженга: Башня из блоков,https://basket-02.wbbasket.ru/vol160/part16088/16088919/images/big/10.webp,,,,,,,,,,Color,"Silver, Starlight, Midnight",,,Size,"40mm, 44mm",,,,,,,
14,simple,BOARD013,Risk: Стратегическая война,1,0,visible,Стратегическая игра про мировое господство.,"Risk: Стратегическая война — глобальная игра на завоевание территорий, где игроки строят армии, планируют атаки и захватывают континенты. Отличный выбор для любителей стратегии. Подходит для 2–6 игроков.",,,taxable,,1,,0,0,0.05,5.89,1.4,0.46,1,,,220.00,Стратегия,,Risk: Стратегическая война,https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/1128810/capsule_616x353.jpg?t=1734049818,,,,,,,,,,Color,White,,,Connectivity,Bluetooth,,,,,,,
15,simple,BOARD014,Крокодил: Настольное издание,1,0,visible,Командная игра на объяснение слов и фраз.,"Крокодил: Настольное издание — веселая игра, где участники объясняют слова при помощи жестов, рисунков или подсказок. Отлично подходит для вечеринок и семейного досуга.",,,taxable,,1,,0,0,0.05,5.90,2.11,1.04,1,,,110.00,Развлекательные,,Крокодил: Настольное издание,https://ir.ozone.ru/s3/multimedia-c/c1000/6119253756.jpg,,,,,,,,,,Color,White,,,Connectivity,Bluetooth,,,,,,,
16,simple,BOARD015,Имаджинариум: Классика,1,0,visible,Игра на ассоциации и фантазию с уникальными картами.,"Имаджинариум: Классика — аналог Dixit, где участники придумывают ассоциации к иллюстрациям на картах. Подходит для компании друзей и семейных встреч. Развивает воображение и коммуникативные навыки.",,,taxable,,1,,0,0,0.72,5.91,3.8,1.02,1,,42,140.00,Творческие,,Имаджинариум: Классика,https://ir.ozone.ru/s3/multimedia-n/c1000/6664565795.jpg,,,,,,,,,,Color,White,,,Compatibility,"iPad, Mac",,,,,,,
17,simple,BOARD016,Мафия: Настольная игра,1,0,visible,Ролевая игра для компании на выявление мафии.,"Мафия: Настольная игра — классическая ролевая игра, где мирные жители ищут мафию, а мафия старается их запутать. Отличный вариант для вечеринок и больших компаний. Игра для 5–15 игроков.",,,taxable,,1,,0,0,0.22,5.92,0.91,1.1,1,,,100.00,Классика,,Мафия: Настольная игра,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQqFodzo5IPjj17yMNK5vT9YlddIXrVfbF-uA&s,,,,,,,,,,Color,White,,,Connectivity,Bluetooth,,,,,,,
18,simple,BOARD017,Манчкин: Стартовый набор,1,0,visible,Приключенческая игра с юмором и подставами.,"Манчкин: Стартовый набор — популярная настольная игра, где вы исследуете подземелья, побеждаете монстров и подставляете соперников. Много юмора, простые правила и отличная динамика. Подходит для 3–6 игроков.",,,taxable,,1,,0,0,0.03,5.93,1.5,2.10,1,,,155.75,Развлекательные,,Манчкин: Стартовый набор,https://img.joomcdn.net/8ac06bf492acf8e53c979c696c2c434f2b1b5441_original.jpeg,,,,,,,,,,Color,White,,,Compatibility,"iPad Pro, iPad Air",,,,,,,
19,simple,BOARD018,Гномы-вредители,1,0,visible,Стратегическая игра с элементами скрытых ролей.,"Гномы-вредители — карточная игра, где одни игроки добывают золото, а другие пытаются их остановить. Участвуйте в стратегических битвах и обманах. Отлично подходит для 3–10 игроков.",,,taxable,,1,,0,0,0.65,5.94,2.12,3.7,1,,,80.50,Карточные,,Гномы-вредители,https://hobbygames.ru/image/cache/hobbygames_beta/data/Style_Jizny/Gnomu_vrediteli_delux/Gnomi_Vrediteli-1024x1024-wm.jpg,,,,,,,,,,Color,Black,,,Connectivity,"Wi-Fi, Ethernet",,,,,,,
20,simple,BOARD019,Элиас: Объясни слова,1,0,visible,Командная игра для объяснения слов за время.,"Элиас: Объясни слова — игра на время, где участники объясняют слова своей команде без использования однокоренных слов. Веселая динамика и командный дух делают ее отличным выбором для вечеринок.",,,taxable,,1,,0,0,0.76,5.95,3.9,0.47,1,,18,90.25,Развлекательные,,Элиас: Объясни слова,https://www.igroved.ru/db/games/images/62/62/igroved_alias_04.jpg,,,,,,,,,,Color,"White, Space Gray",,,Connectivity,Wi-Fi,,,,,,,
21,simple,BOARD020,Кодовые имена: Двухсторонние,1,0,visible,Командная шпионская игра с ключами и подсказками.,"Кодовые имена: Двухсторонние — командная игра, где нужно найти своих агентов по ключевым словам, избегая ловушек. Игра развивает логическое мышление и подходит для компании друзей.",,,taxable,,1,,0,0,0.22,5.96,0.92,1.04,1,,,130.00,Логические,,Кодовые имена: Двухсторонние,https://gaga.ru/gaga/files/images/w1380/3739/2.jpg,,,,,,,,,,,,,,,,,,,,,,
